country,date_law_as_it_stood_on,date_checked_rapporteurs,emergency_declaration,rule_making_powers_dependent_emergency,parliament_scrutiny_em_declaration,sunset_provisions_em_declarations,sunset_provisions_em_decl_months,constitutional_declaration,statutory,constitutional_changes,covid_general_statute,statute_emergency_powers,fast_tracking_prim_leg,fast_tracking_prim_leg_days,party_opposition_covid_statute,amendments_opposition_covid_bill,sunset_provisions_statute,suspension_bill_rights,postponement_suspension_election,elections_held,stay_at_home_orders,sunset_provisions_stay_at_home,parliament_suspension,ex_ante_judicial_review,ex_post_judicial_review,parliament_scrutiny_instrument,sunset_provisions_ind_reg,derogation
Spain,12-Jan-21,,1,1,0,1,1,1,0,0,0,1,NA.,NA.,NA.,NA.,NA.,0,2,2,1,1,0,0,1,0,1,0
Sri Lanka,Forthcoming,,0,0,0,NA.,NA.,0,0,0,0,1,NA.,NA.,NA.,NA.,NA.,0,3,3,1,NA.,1,0,0,0,NA.,0
Sweden,14-Jan-21,,0,0,NA.,NA.,NA.,0,0,0,1,3,0,NA.,0,0,1,0,1,1,0,NA.,0,0,1,NA.,1,0
Taiwan,22-Apr-21,,0,0,NA.,NA.,NA.,0,0,0,1,3,1,6,0,0,1,0,0,1,0,NA.,0,0,1,NA.,0,0
Thailand,20-Sep-21,,1,1,0,1,3,0,1,0,0,1,NA.,NA.,NA.,NA.,NA.,0,0,2,0,NA.,0,0,0,0,0,1
The European Union,16-Jan-22,,0,0,NA.,NA.,NA.,0,0,0,0,,NA.,NA.,NA.,NA.,NA.,0,NA.,,NA.,NA.,0,0,1,NA.,NA.,0
Tunisia,Forthcoming,,1,1,0,0,NA.,1,0,0,0,1,NA.,NA.,NA.,NA.,NA.,0,1,1,1,0,0,0,0,2,NA.,0
Turkey,08-Jul-20,,0,0,NA.,NA.,NA.,0,0,0,0,1,NA.,NA.,NA.,NA.,NA.,0,1,0,0,NA.,0,0,1,NA.,0,0
United Kingdom,08-Oct-20,,0,0,NA.,NA.,NA.,0,0,0,1,3,1,3,1,0,1,0,1,1; 3,1,1,0,0,1,1,1,0
United States,01-Oct-21,,1,1,0,1,NA.,0,1,0,0,1,NA.,NA.,NA.,NA.,1,0,1; 2,1; 2; 3,2,NA.,0,0,1,0,0,0
Venezuela,Forthcoming,,1,1,0,1,1,1,1,0,0,1,NA.,NA.,NA.,NA.,NA.,0,0,1; 2; 3,1,0,0,0,1,0,NA.,0
